content_id,platform,variant,published_at,measurement_window_hours,views,avg_watch_time_seconds,retention_percent,likes,comments,shares,saves,followers_gained,profile_visits,site_sessions,affiliate_clicks,orders,leads,gross_revenue_eur,commission_revenue_eur,owned_product_revenue_eur,b2b_revenue_eur,notes
V001,tiktok,A,,,,,,,,,,,,,,,,,,,,
V001,youtube,A,,,,,,,,,,,,,,,,,,,,
V002,tiktok,A,,,,,,,,,,,,,,,,,,,,
V002,youtube,A,,,,,,,,,,,,,,,,,,,,
V003,tiktok,A,,,,,,,,,,,,,,,,,,,,
V003,youtube,A,,,,,,,,,,,,,,,,,,,,
V004,tiktok,A,,,,,,,,,,,,,,,,,,,,
V004,youtube,A,,,,,,,,,,,,,,,,,,,,
V005,tiktok,A,,,,,,,,,,,,,,,,,,,,
V005,youtube,A,,,,,,,,,,,,,,,,,,,,
V006,tiktok,A,,,,,,,,,,,,,,,,,,,,
V006,youtube,A,,,,,,,,,,,,,,,,,,,,
V007,tiktok,A,,,,,,,,,,,,,,,,,,,,
V007,youtube,A,,,,,,,,,,,,,,,,,,,,
V008,tiktok,A,,,,,,,,,,,,,,,,,,,,
V008,youtube,A,,,,,,,,,,,,,,,,,,,,
V009,tiktok,A,,,,,,,,,,,,,,,,,,,,
V009,youtube,A,,,,,,,,,,,,,,,,,,,,
V010,tiktok,A,,,,,,,,,,,,,,,,,,,,
V010,youtube,A,,,,,,,,,,,,,,,,,,,,
